ZIP,fips,cnip_2020_12,laborforce_2020_12,employed_2020_12,unemployment_percent_2020_12,,,SUMIF,ZipCode,sumifcnip,sumiflabor,sumifemploy,sumif/countifunemp,avgifunemppct,,,MAPZIPS,ZipCode,mapcnip,maplabor,mapemploy,mapunemppct
11435,3.61E+10,2351.6,1394.2,1123.8,19.39%,,,SUMIF,10035,54646.9,27624.2,24150.1,13.48%,13.48%,,,MAPZIPS,11355,93968.5,39596.6,35821.8,9.59%
11435,3.61E+10,2508.9,1415.6,1157.2,18.25%,,,SUMIF,10036,32073.5,24517.3,22951.7,7.12%,7.12%,,,MAPZIPS,11358,59002.4,28237.6,25696.3,8.99%
11435,3.61E+10,978.7,561.4,462.9,17.55%,,,SUMIF,10037,48499.6,27157.3,23230.7,13.82%,13.82%,,,MAPZIPS,11360,19361.4,9150.9,8436.9,7.97%
11435,3.61E+10,4924.9,2788.1,2304.5,17.35%,,,SUMIF,10039,38871.1,23855.8,20187.5,15.33%,15.33%,,,MAPZIPS,11361,44297.5,22719.3,20741.6,8.66%
11435,3.61E+10,2004.8,1108.6,917.5,17.24%,,,SUMIF,10065,29181.2,18342.5,17688.2,3.29%,3.29%,,,MAPZIPS,11364,45856.1,23532.6,21528.8,8.47%
11435,3.61E+10,2075,1333.5,1115.6,16.34%,,,SUMIF,10069,25962.2,15873.4,15134.2,4.76%,4.76%,,,MAPZIPS,11372,113978.4,63494,57433.4,9.79%
11435,3.61E+10,1564.9,888.4,744.3,16.22%,,,SUMIF,10075,64571.1,42402.7,40896.1,3.47%,3.47%,,,MAPZIPS,11373,114336.9,62513.3,56314.7,9.99%
11435,3.61E+10,3656.2,2242.1,1883.5,15.99%,,,SUMIF,10128,64737.5,42150.3,40258,4.78%,4.78%,,,MAPZIPS,11374,60408,32522.2,29963.1,8.21%
11435,3.61E+10,6284.9,3780.7,3217.9,14.89%,,,SUMIF,10280,11992.3,9660,9310.1,3.53%,3.53%,,,MAPZIPS,11375,79046,44759.9,41646.4,7.18%
11435,3.61E+10,2086.2,1291.1,1121.8,13.11%,,,SUMIF,10282,8787.3,6360.3,6135,3.53%,3.53%,,,MAPZIPS,11377,115464.4,65165.5,59225.5,10.94%
11435,3.61E+10,5840,4054.3,3549.6,12.45%,,,SUMIF,10314,70998.7,41063.7,34364.4,16.68%,10.20%,,,MAPZIPS,11379,41977.6,23314.4,21069.3,10.56%
11435,3.61E+10,5979.1,3659.1,3214.6,12.15%,,,SUMIF,10458,79715.8,44143.3,35809.6,19.40%,19.40%,,,MAPZIPS,11385,100185,61722.9,55547.7,9.78%
11435,3.61E+10,2642.5,1419,1247.7,12.07%,,,SUMIF,10462,87780.2,52386.8,44388.1,15.58%,15.58%,,,MAPZIPS,11432,67514.4,34306.2,29592.1,13.53%
11435,3.61E+10,1853.6,1129,993.5,12.00%,,,SUMIF,10463,71928.3,39628.7,35127.6,10.80%,10.80%,,,MAPZIPS,11435,70998.7,41063.7,34364.4,16.68%
11435,3.61E+10,1812.7,990.2,872.6,11.88%,,,SUMIF,10543,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,
11435,3.61E+10,2370.9,1287.7,1140.5,11.43%,,,SUMIF,10583,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,
11435,3.61E+10,4844,2517.2,2250.6,10.59%,,,SUMIF,10601,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,
11372,3.61E+10,3123.1,1756.1,1522.9,13.28%,,,SUMIF,10606,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,
11372,3.61E+10,3669.3,1744.3,1532.3,12.15%,,,SUMIF,10701,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,
11372,3.61E+10,2221.8,1102.6,977.8,11.32%,,,SUMIF,10704,1540.8,863.6,799.4,7.43%,7.43%,,,,,,,,
11372,3.61E+10,4853.1,2517.5,2236,11.18%,,,SUMIF,10707,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,
11372,3.61E+10,5411,2642.8,2353.7,10.94%,,,SUMIF,10801,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,
11372,3.61E+10,5351.8,2875.2,2570.7,10.59%,,,SUMIF,10954,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,
11372,3.61E+10,3118.8,1904,1704.8,10.46%,,,SUMIF,11021,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,
11372,3.61E+10,5456.1,3037.8,2723.2,10.36%,,,SUMIF,11101,56401.2,37732,34074.6,11.45%,11.45%,,,,,,,,
11372,3.61E+10,2916.5,1667.6,1496.9,10.24%,,,SUMIF,11104,40562.5,26246.7,24099.1,8.23%,8.23%,,,,,,,,
11372,3.61E+10,2693.1,1508.1,1355.5,10.12%,,,SUMIF,11105,39387.6,25815.4,23715,8.14%,8.14%,,,,,,,,
11372,3.61E+10,4072,2248.8,2023.4,10.02%,,,SUMIF,11201,67328.2,46246.6,42750.6,8.01%,8.01%,,,,,,,,
11372,3.61E+10,4559.4,2668.8,2405.6,9.86%,,,SUMIF,11205,58761.4,35744.6,32003,10.64%,10.64%,,,,,,,,
11372,3.61E+10,5011.3,3159.9,2849.4,9.83%,,,SUMIF,11206,99968.3,57372.7,49372.2,14.45%,14.45%,,,,,,,,
11372,3.61E+10,3388.8,1959.8,1767.7,9.80%,,,SUMIF,11207,111815.7,56818.6,47465.8,16.30%,16.30%,,,,,,,,
11372,3.61E+10,5160.1,2703,2439.8,9.74%,,,SUMIF,11209,63354.7,36333.3,33270.1,8.12%,8.12%,,,,,,,,
11372,3.61E+10,2263.2,1229,1111,9.60%,,,SUMIF,11210,88405.7,46208.9,41457.7,9.99%,9.99%,,,,,,,,
11372,3.61E+10,5011.4,2881.2,2606.1,9.55%,,,SUMIF,11211,77084.8,52845.9,48469.2,8.19%,8.19%,,,,,,,,
11372,3.61E+10,6575.7,4093.4,3724.3,9.02%,,,SUMIF,11213,71356.2,37892.7,32877.6,13.39%,13.39%,,,,,,,,
11372,3.61E+10,5798.5,2851.6,2598.6,8.87%,,,SUMIF,11215,73727.1,55629.1,52777.6,5.40%,5.40%,,,,,,,,
11372,3.61E+10,4219.8,2648.9,2417.2,8.75%,,,SUMIF,11216,89931,56414.4,50010.2,11.39%,11.39%,,,,,,,,
11372,3.61E+10,6509.6,3438.8,3142.4,8.62%,,,SUMIF,11218,81263.4,45824.8,41923.4,8.56%,8.56%,,,,,,,,
11372,3.61E+10,6912,3951,3622.9,8.30%,,,SUMIF,11221,115537.8,70655.9,60091.5,15.07%,15.07%,,,,,,,,
11372,3.61E+10,5749.2,2932.6,2693,8.17%,,,SUMIF,11222,42110.4,30906.7,28892.1,6.77%,6.77%,,,,,,,,
11372,3.61E+10,4435.7,2556.1,2376.9,7.01%,,,SUMIF,11226,109596.5,62948,55167.2,12.30%,12.30%,,,,,,,,
11372,3.61E+10,5497.1,3415.1,3181.3,6.85%,,,SUMIF,11230,92241.5,46364,42185.5,8.83%,8.83%,,,,,,,,
10458,3.60E+10,4178.5,2047.8,1529,25.33%,,,SUMIF,11231,38936.6,27335.2,25375.3,7.31%,7.31%,,,,,,,,
10458,3.60E+10,913.1,504.2,377.6,25.11%,,,SUMIF,11232,36778.8,21401.1,19170.1,10.83%,10.83%,,,,,,,,
10458,3.60E+10,2774.3,1624.8,1242.2,23.55%,,,SUMIF,11233,75970.6,39569.3,34078.4,14.26%,14.26%,,,,,,,,
10458,3.60E+10,6441.1,2925.1,2260.7,22.71%,,,SUMIF,11238,79358.3,54474.9,50014.1,8.43%,8.43%,,,,,,,,
