fips,name
14000US36005031000,"Census Tract 310, Bronx, NY"
14000US36005031200,"Census Tract 312, Bronx, NY"
14000US36005031400,"Census Tract 314, Bronx, NY"
14000US36005031600,"Census Tract 316, Bronx, NY"
14000US36005031800,"Census Tract 318, Bronx, NY"
14000US36005031900,"Census Tract 319, Bronx, NY"
14000US36005032300,"Census Tract 323, Bronx, NY"
14000US36005032400,"Census Tract 324, Bronx, NY"
14000US36005032600,"Census Tract 326, Bronx, NY"
14000US36005032800,"Census Tract 328, Bronx, NY"
14000US36005033000,"Census Tract 330, Bronx, NY"
14000US36005033201,"Census Tract 332.01, Bronx, NY"
14000US36005033202,"Census Tract 332.02, Bronx, NY"
14000US36005033400,"Census Tract 334, Bronx, NY"
14000US36005033500,"Census Tract 335, Bronx, NY"
14000US36005033600,"Census Tract 336, Bronx, NY"
14000US36005033700,"Census Tract 337, Bronx, NY"
14000US36005033800,"Census Tract 338, Bronx, NY"
14000US36005034000,"Census Tract 340, Bronx, NY"
14000US36005034200,"Census Tract 342, Bronx, NY"
14000US36005034300,"Census Tract 343, Bronx, NY"
14000US36005034400,"Census Tract 344, Bronx, NY"
14000US36005034500,"Census Tract 345, Bronx, NY"
14000US36005034800,"Census Tract 348, Bronx, NY"
14000US36005035000,"Census Tract 350, Bronx, NY"
14000US36005035100,"Census Tract 351, Bronx, NY"
14000US36005035600,"Census Tract 356, Bronx, NY"
14000US36005035800,"Census Tract 358, Bronx, NY"
14000US36005035900,"Census Tract 359, Bronx, NY"
14000US36005036000,"Census Tract 360, Bronx, NY"
14000US36005036100,"Census Tract 361, Bronx, NY"
14000US36005036300,"Census Tract 363, Bronx, NY"
14000US36005036400,"Census Tract 364, Bronx, NY"
14000US36005036501,"Census Tract 365.01, Bronx, NY"
14000US36005036502,"Census Tract 365.02, Bronx, NY"
14000US36005036700,"Census Tract 367, Bronx, NY"
14000US36005036800,"Census Tract 368, Bronx, NY"
14000US36005036901,"Census Tract 369.01, Bronx, NY"
14000US36005036902,"Census Tract 369.02, Bronx, NY"
14000US36005037000,"Census Tract 370, Bronx, NY"
14000US36005037100,"Census Tract 371, Bronx, NY"
14000US36005037200,"Census Tract 372, Bronx, NY"
14000US36005037300,"Census Tract 373, Bronx, NY"
14000US36005037400,"Census Tract 374, Bronx, NY"
14000US36005037504,"Census Tract 375.04, Bronx, NY"
14000US36005037600,"Census Tract 376, Bronx, NY"
14000US36005037800,"Census Tract 378, Bronx, NY"
14000US36005037900,"Census Tract 379, Bronx, NY"
14000US36005038000,"Census Tract 380, Bronx, NY"
14000US36005038100,"Census Tract 381, Bronx, NY"
14000US36005038200,"Census Tract 382, Bronx, NY"
14000US36005038301,"Census Tract 383.01, Bronx, NY"
14000US36005038302,"Census Tract 383.02, Bronx, NY"
14000US36005038500,"Census Tract 385, Bronx, NY"
14000US36005038600,"Census Tract 386, Bronx, NY"
14000US36005038700,"Census Tract 387, Bronx, NY"
14000US36005038800,"Census Tract 388, Bronx, NY"
14000US36005038900,"Census Tract 389, Bronx, NY"
14000US36005039000,"Census Tract 390, Bronx, NY"
14000US36005039100,"Census Tract 391, Bronx, NY"
14000US36005039200,"Census Tract 392, Bronx, NY"
14000US36005039300,"Census Tract 393, Bronx, NY"
14000US36005039400,"Census Tract 394, Bronx, NY"
14000US36005039500,"Census Tract 395, Bronx, NY"
14000US36005039600,"Census Tract 396, Bronx, NY"
14000US36005039700,"Census Tract 397, Bronx, NY"
14000US36005039800,"Census Tract 398, Bronx, NY"
14000US36005039901,"Census Tract 399.01, Bronx, NY"
14000US36005039902,"Census Tract 399.02, Bronx, NY"
14000US36005040100,"Census Tract 401, Bronx, NY"
14000US36005040302,"Census Tract 403.02, Bronx, NY"
14000US36005040303,"Census Tract 403.03, Bronx, NY"
14000US36005040304,"Census Tract 403.04, Bronx, NY"
14000US36005040400,"Census Tract 404, Bronx, NY"
14000US36005040501,"Census Tract 405.01, Bronx, NY"
14000US36005040502,"Census Tract 405.02, Bronx, NY"
14000US36005040600,"Census Tract 406, Bronx, NY"
14000US36005040701,"Census Tract 407.01, Bronx, NY"
14000US36005040702,"Census Tract 407.02, Bronx, NY"
14000US36005040800,"Census Tract 408, Bronx, NY"
14000US36005040900,"Census Tract 409, Bronx, NY"
14000US36005041100,"Census Tract 411, Bronx, NY"
14000US36005041300,"Census Tract 413, Bronx, NY"
14000US36005041400,"Census Tract 414, Bronx, NY"
14000US36005041500,"Census Tract 415, Bronx, NY"
14000US36005041800,"Census Tract 418, Bronx, NY"
14000US36005041900,"Census Tract 419, Bronx, NY"
14000US36005042000,"Census Tract 420, Bronx, NY"
14000US36005042100,"Census Tract 421, Bronx, NY"
14000US36005042200,"Census Tract 422, Bronx, NY"
14000US36005042300,"Census Tract 423, Bronx, NY"
14000US36005042400,"Census Tract 424, Bronx, NY"
14000US36005042500,"Census Tract 425, Bronx, NY"
14000US36005042600,"Census Tract 426, Bronx, NY"
14000US36005042800,"Census Tract 428, Bronx, NY"
14000US36005042901,"Census Tract 429.01, Bronx, NY"
14000US36005042902,"Census Tract 429.02, Bronx, NY"
14000US36005043000,"Census Tract 430, Bronx, NY"
14000US36005043100,"Census Tract 431, Bronx, NY"
14000US36005043400,"Census Tract 434, Bronx, NY"
14000US36005043500,"Census Tract 435, Bronx, NY"
14000US36005043600,"Census Tract 436, Bronx, NY"
14000US36005044200,"Census Tract 442, Bronx, NY"
14000US36005044400,"Census Tract 444, Bronx, NY"
14000US36005044800,"Census Tract 448, Bronx, NY"
14000US36005044901,"Census Tract 449.01, Bronx, NY"
14000US36005044902,"Census Tract 449.02, Bronx, NY"
14000US36005045101,"Census Tract 451.01, Bronx, NY"
14000US36005045102,"Census Tract 451.02, Bronx, NY"
14000US36005045600,"Census Tract 456, Bronx, NY"
14000US36005045800,"Census Tract 458, Bronx, NY"
14000US36005046000,"Census Tract 460, Bronx, NY"
14000US36005046201,"Census Tract 462.01, Bronx, NY"
14000US36005046202,"Census Tract 462.02, Bronx, NY"
14000US36005048400,"Census Tract 484, Bronx, NY"
14000US36005050400,"Census Tract 504, Bronx, NY"
14000US36005051600,"Census Tract 516, Bronx, NY"
14000US36047000100,"Census Tract 1, Kings, NY"
14000US36047000200,"Census Tract 2, Kings, NY"
14000US36047000301,"Census Tract 3.01, Kings, NY"
14000US36047000501,"Census Tract 5.01, Kings, NY"
14000US36047000502,"Census Tract 5.02, Kings, NY"
14000US36047000700,"Census Tract 7, Kings, NY"
14000US36047000900,"Census Tract 9, Kings, NY"
14000US36047001100,"Census Tract 11, Kings, NY"
14000US36047001300,"Census Tract 13, Kings, NY"
14000US36047001500,"Census Tract 15, Kings, NY"
14000US36047001800,"Census Tract 18, Kings, NY"
14000US36047002000,"Census Tract 20, Kings, NY"
14000US36047002100,"Census Tract 21, Kings, NY"
14000US36047002200,"Census Tract 22, Kings, NY"
14000US36047002300,"Census Tract 23, Kings, NY"
14000US36047002901,"Census Tract 29.01, Kings, NY"
14000US36047003000,"Census Tract 30, Kings, NY"
14000US36047003100,"Census Tract 31, Kings, NY"
14000US36047003300,"Census Tract 33, Kings, NY"
14000US36047003400,"Census Tract 34, Kings, NY"
14000US36047003500,"Census Tract 35, Kings, NY"
14000US36047003600,"Census Tract 36, Kings, NY"
14000US36047003700,"Census Tract 37, Kings, NY"
14000US36047003800,"Census Tract 38, Kings, NY"
14000US36047003900,"Census Tract 39, Kings, NY"
14000US36047004100,"Census Tract 41, Kings, NY"
14000US36047004300,"Census Tract 43, Kings, NY"
14000US36047004400,"Census Tract 44, Kings, NY"
14000US36047004500,"Census Tract 45, Kings, NY"
14000US36047004600,"Census Tract 46, Kings, NY"
14000US36047004700,"Census Tract 47, Kings, NY"
14000US36047004900,"Census Tract 49, Kings, NY"
14000US36047005000,"Census Tract 50, Kings, NY"
14000US36047005100,"Census Tract 51, Kings, NY"
14000US36047005201,"Census Tract 52.01, Kings, NY"
14000US36047005202,"Census Tract 52.02, Kings, NY"
14000US36047005300,"Census Tract 53, Kings, NY"
14000US36047005400,"Census Tract 54, Kings, NY"
14000US36047005601,"Census Tract 56.01, Kings, NY"
14000US36047005602,"Census Tract 56.02, Kings, NY"
14000US36047005800,"Census Tract 58, Kings, NY"
14000US36047005900,"Census Tract 59, Kings, NY"
14000US36047006000,"Census Tract 60, Kings, NY"
14000US36047006200,"Census Tract 62, Kings, NY"
14000US36047006300,"Census Tract 63, Kings, NY"
14000US36047006400,"Census Tract 64, Kings, NY"
14000US36047006500,"Census Tract 65, Kings, NY"
14000US36047006600,"Census Tract 66, Kings, NY"
14000US36047006700,"Census Tract 67, Kings, NY"
14000US36047006800,"Census Tract 68, Kings, NY"
14000US36047006900,"Census Tract 69, Kings, NY"
14000US36047007000,"Census Tract 70, Kings, NY"
14000US36047007100,"Census Tract 71, Kings, NY"
14000US36047007200,"Census Tract 72, Kings, NY"
14000US36047007400,"Census Tract 74, Kings, NY"
14000US36047007500,"Census Tract 75, Kings, NY"
14000US36047007600,"Census Tract 76, Kings, NY"
14000US36047007700,"Census Tract 77, Kings, NY"
14000US36047007800,"Census Tract 78, Kings, NY"
14000US36047008000,"Census Tract 80, Kings, NY"
14000US36047008200,"Census Tract 82, Kings, NY"
14000US36047008400,"Census Tract 84, Kings, NY"
14000US36047008500,"Census Tract 85, Kings, NY"
14000US36047008600,"Census Tract 86, Kings, NY"
14000US36047008800,"Census Tract 88, Kings, NY"
14000US36047009000,"Census Tract 90, Kings, NY"
14000US36047009200,"Census Tract 92, Kings, NY"
14000US36047009400,"Census Tract 94, Kings, NY"
14000US36047009600,"Census Tract 96, Kings, NY"
14000US36047009800,"Census Tract 98, Kings, NY"
14000US36047010000,"Census Tract 100, Kings, NY"
14000US36047010100,"Census Tract 101, Kings, NY"
14000US36047010200,"Census Tract 102, Kings, NY"
14000US36047010400,"Census Tract 104, Kings, NY"
14000US36047010600,"Census Tract 106, Kings, NY"
14000US36047010800,"Census Tract 108, Kings, NY"
14000US36047011000,"Census Tract 110, Kings, NY"
14000US36047011200,"Census Tract 112, Kings, NY"
14000US36047011400,"Census Tract 114, Kings, NY"
14000US36047011600,"Census Tract 116, Kings, NY"
14000US36047011700,"Census Tract 117, Kings, NY"
14000US36047011800,"Census Tract 118, Kings, NY"
14000US36047011900,"Census Tract 119, Kings, NY"
14000US36047012000,"Census Tract 120, Kings, NY"
14000US36047012100,"Census Tract 121, Kings, NY"
14000US36047012200,"Census Tract 122, Kings, NY"
14000US36047012600,"Census Tract 126, Kings, NY"
14000US36047012700,"Census Tract 127, Kings, NY"
14000US36047012801,"Census Tract 128.01, Kings, NY"
14000US36047012901,"Census Tract 129.01, Kings, NY"
14000US36047012902,"Census Tract 129.02, Kings, NY"
14000US36047013000,"Census Tract 130, Kings, NY"
14000US36047013100,"Census Tract 131, Kings, NY"
14000US36047013200,"Census Tract 132, Kings, NY"
14000US36047013300,"Census Tract 133, Kings, NY"
14000US36047013400,"Census Tract 134, Kings, NY"
14000US36047013500,"Census Tract 135, Kings, NY"
14000US36047013600,"Census Tract 136, Kings, NY"
14000US36047013700,"Census Tract 137, Kings, NY"
14000US36047013800,"Census Tract 138, Kings, NY"
14000US36047013900,"Census Tract 139, Kings, NY"
14000US36047014000,"Census Tract 140, Kings, NY"
14000US36047014100,"Census Tract 141, Kings, NY"
14000US36047014200,"Census Tract 142, Kings, NY"
14000US36047014300,"Census Tract 143, Kings, NY"
14000US36047014500,"Census Tract 145, Kings, NY"
14000US36047014700,"Census Tract 147, Kings, NY"
14000US36047014800,"Census Tract 148, Kings, NY"
14000US36047014900,"Census Tract 149, Kings, NY"
14000US36047015000,"Census Tract 150, Kings, NY"
14000US36047015100,"Census Tract 151, Kings, NY"
14000US36047015200,"Census Tract 152, Kings, NY"
14000US36047015300,"Census Tract 153, Kings, NY"
14000US36047015400,"Census Tract 154, Kings, NY"
14000US36047015500,"Census Tract 155, Kings, NY"
14000US36047015700,"Census Tract 157, Kings, NY"
14000US36047015900,"Census Tract 159, Kings, NY"
14000US36047016000,"Census Tract 160, Kings, NY"
14000US36047016100,"Census Tract 161, Kings, NY"
14000US36047016200,"Census Tract 162, Kings, NY"
14000US36047016300,"Census Tract 163, Kings, NY"
14000US36047016400,"Census Tract 164, Kings, NY"
14000US36047016500,"Census Tract 165, Kings, NY"
14000US36047016600,"Census Tract 166, Kings, NY"
14000US36047016700,"Census Tract 167, Kings, NY"
14000US36047016800,"Census Tract 168, Kings, NY"
14000US36047016900,"Census Tract 169, Kings, NY"
14000US36047017000,"Census Tract 170, Kings, NY"
14000US36047017100,"Census Tract 171, Kings, NY"
14000US36047017200,"Census Tract 172, Kings, NY"
14000US36047017400,"Census Tract 174, Kings, NY"
14000US36047017500,"Census Tract 175, Kings, NY"
14000US36047017600,"Census Tract 176, Kings, NY"
14000US36047017700,"Census Tract 177, Kings, NY"
14000US36047017800,"Census Tract 178, Kings, NY"
14000US36047017900,"Census Tract 179, Kings, NY"
14000US36047018000,"Census Tract 180, Kings, NY"
14000US36047018100,"Census Tract 181, Kings, NY"
14000US36047018200,"Census Tract 182, Kings, NY"
14000US36047018300,"Census Tract 183, Kings, NY"
14000US36047018400,"Census Tract 184, Kings, NY"
14000US36047018501,"Census Tract 185.01, Kings, NY"
14000US36047018600,"Census Tract 186, Kings, NY"
14000US36047018700,"Census Tract 187, Kings, NY"
14000US36047018800,"Census Tract 188, Kings, NY"
14000US36047019000,"Census Tract 190, Kings, NY"
14000US36047019100,"Census Tract 191, Kings, NY"
14000US36047019200,"Census Tract 192, Kings, NY"
14000US36047019300,"Census Tract 193, Kings, NY"
14000US36047019400,"Census Tract 194, Kings, NY"
14000US36047019500,"Census Tract 195, Kings, NY"
14000US36047019600,"Census Tract 196, Kings, NY"
14000US36047019700,"Census Tract 197, Kings, NY"
14000US36047019800,"Census Tract 198, Kings, NY"
14000US36047019900,"Census Tract 199, Kings, NY"
14000US36047020000,"Census Tract 200, Kings, NY"
14000US36047020100,"Census Tract 201, Kings, NY"
14000US36047020200,"Census Tract 202, Kings, NY"
14000US36047020300,"Census Tract 203, Kings, NY"
14000US36047020400,"Census Tract 204, Kings, NY"
14000US36047020500,"Census Tract 205, Kings, NY"
14000US36047020600,"Census Tract 206, Kings, NY"
