fips,cnip_2020_12,laborforce_2020_12,employed_2020_12,unemployment_percent_2020_12,ZIP
36047022900,3428.9,2482.9,2276.2,8.32,11216
36047022900,3428.9,2482.9,2276.2,8.32,11238
36047015900,4607.8,3503.6,3364.4,3.97,11215
36047015900,4607.8,3503.6,3364.4,3.97,11217
36047015900,4607.8,3503.6,3364.4,3.97,11238
36081097202,2015.1,945.5,749.9,20.69,11692
36081071701,4616.8,2186.9,2001.0,8.5,11374
36081065400,2718.2,1764.2,1611.0,8.68,11413
36081065400,2718.2,1764.2,1611.0,8.68,11422
36081083800,5162.0,2887.2,2532.1,12.3,11420
36081096400,4823.3,2358.8,2030.8,13.91,11692
36081050202,1189.5,707.1,577.0,18.4,11412
36081050202,1189.5,707.1,577.0,18.4,11423
36081001200,3365.4,1869.4,1679.4,10.16,11421
36061008900,4843.7,3633.0,3438.6,5.35,10011
36005046201,25793.5,11555.3,10161.0,12.07,10475
36005034300,1390.7,799.6,728.7,8.87,10471
36005023502,3625.5,1753.6,1449.3,17.35,10457
36047079602,3909.7,2196.6,1900.7,13.47,11226
36047003800,1233.0,572.0,530.7,7.22,11209
36047088200,5195.3,2946.6,2620.2,11.08,11212
36047073000,2089.6,1103.4,927.4,15.95,11234
36047076400,3127.5,1877.9,1720.6,8.38,11230
36047039200,2305.3,1149.0,1071.1,6.78,11223
36047026400,4198.3,2268.7,1985.1,12.5,11204
36047026400,4198.3,2268.7,1985.1,12.5,11214
36081136700,5414.2,2594.1,2349.3,9.44,11364
36081080302,3094.7,1318.6,1166.5,11.53,11367
36081161700,4338.3,2409.8,2246.5,6.78,11001
36081161700,4338.3,2409.8,2246.5,6.78,11426
36047035700,1869.6,960.8,805.8,16.13,11213
36047019300,5300.4,2433.1,2110.4,13.26,11205
36047019300,5300.4,2433.1,2110.4,13.26,11238
36047050700,1363.4,760.9,659.4,13.34,11206
36085004000,10407.4,5223.1,4589.3,12.13,10304
36061011401,1045.5,409.7,399.0,2.61,10022
36061011401,1045.5,409.7,399.0,2.61,10065
36005022102,3972.8,1945.6,1578.1,18.89,10452
36081062600,2491.1,1394.9,1245.3,10.72,11413
36005023704,2538.4,1473.9,1190.4,19.23,10453
36005008500,4551.0,2376.5,1948.5,18.01,10455
36005008500,4551.0,2376.5,1948.5,18.01,10459
36061006900,2272.3,1584.0,1512.2,4.53,10014
36005013300,4980.3,2083.1,1745.8,16.19,10456
36005013300,4980.3,2083.1,1745.8,16.19,10459
36047026200,2092.1,1000.2,854.9,14.53,11204
36047026200,2092.1,1000.2,854.9,14.53,11219
36047026200,2092.1,1000.2,854.9,14.53,11228
36047113400,2414.6,1113.8,843.6,24.26,11207
36047000200,976.0,526.5,463.7,11.93,11220
36047000200,976.0,526.5,463.7,11.93,11232
36047048800,3128.2,1564.4,1405.3,10.17,11218
36081032900,3152.2,1762.7,1562.9,11.33,11369
36081032900,3152.2,1762.7,1562.9,11.33,11370
36047065800,1632.2,822.4,759.1,7.7,11234
36047087200,2557.8,1411.5,1213.0,14.06,11203
36047044200,1988.8,979.1,916.5,6.39,11223
36047044200,1988.8,979.1,916.5,6.39,11230
36047114400,1846.6,1047.6,785.8,24.99,11207
36047045600,1608.1,715.1,652.8,8.71,11230
36047029600,4667.2,2218.6,2023.7,8.78,11214
36047067800,2380.9,1413.9,1211.8,14.29,11234
36047081800,4218.9,2375.4,2131.3,10.28,11203
36047081800,4218.9,2375.4,2131.3,10.28,11226
36081113900,2904.4,1366.5,1236.1,9.54,11358
36081113900,2904.4,1366.5,1236.1,9.54,11361
36081118100,1449.5,810.0,740.5,8.58,11358
36081118100,1449.5,810.0,740.5,8.58,11361
36081047100,3560.4,1916.8,1735.3,9.47,11373
36061013600,14334.5,9628.4,9279.3,3.63,10028
